ticket_id,environment,severity_level,system_layer,issue_category,error_code,customer_query,failure_log,technical_resolution
INC-00001,Production,P2-High,Kubernetes Orchestration,OOM Kill,ERR_K8S_EVICT Pod-1111,"We're experiencing a sudden OOM kill on one of our stateful sets, causing a cascading effect on the entire cluster. Can you please investigate and resolve ASAP?",k8s pods.go:123] Pod 'stateful-set-0' terminated with exit code 137,"1. Run `kubectl get pods` to identify the affected stateful set. 2. Check the memory usage using `kubectl top pod <pod-name>`. 3. Update the Stateful Set's resources (memory, cpu) based on recent consumption patterns. 4. Re-run the deployment with the updated configuration."
INC-00002,Staging,P3-Medium,Redis Distributed Cache,Cache Stampede,ERR_REDIS_STAMPEDE_4567,"We're seeing a weird cache stampede issue in our staging environment. Requests are taking 20x longer than expected, and Redis is reporting high CPU usage. Can someone please help resolve this?",[Redis] Error: MASTER_DOWN - Cannot connect to sentinel (sentinel-master-0) at redis-sentinel:6379,1. Check the Redis cluster health using `redis-cli dumper`. 2. Monitor server logs for any errors or unusual behavior. 3. Run `redis-cli info` to identify any potential issues with connection limits or slow queries. 4. Flush the cache and re-run the deployment with increased connection limits.
INC-00003,Development,P1-Critical,Postgres Database Layer,Network Partition,ERR_PG_PARTITION_3333,"We're experiencing a network partition between our Postgres master and replica. All queries are timing out, and we're seeing replication lag. Can you please resolve this ASAP?",[Postgres] Error: Unable to establish connection with replica due to network partition at node 'replica-0',1. Run `pg_isql -h <master-host> -U <username> -d <database-name>` to verify the master is still accessible. 2. Check the replication status using `pg_stat_replication`. 3. Trigger a manual failover to the replica (if applicable). 4. Verify data consistency and run any necessary repair queries.
INC-00004,Production,P2-High,AWS IAM & Security,TLS/SSL Expiration,ERR_TLS_EXPIRED_9999,"Our TLS certificate has expired, and all outgoing requests are failing with SSL errors. Can you please help resolve this?",[Iam] Error: Certificate 'cert-1234' has expired on node 'iam-node-0',1. Check the certificate expiration date using `aws iam get-certificate --certificate-id <id>`. 2. Generate a new certificate using `aws iam create-certificate` and update the SSL/TLS configuration. 3. Verify all nodes are updated with the new certificate.
INC-00005,Staging,P4-Low,Comviva BSS Core,Order Sync Failure,ERR_COMVIVA_408,"We're seeing order sync failures in our staging environment. The orders are not being updated correctly, and we're experiencing delays. Can someone please investigate?",[Comviva] Error: Unable to update order due to DB connection timeout at node 'order-sync-0',1. Check the Comviva logs for any errors or unusual behavior. 2. Verify the database connection is stable and not timing out. 3. Run `comviva-cli sync` to force a re-run of the order sync process.
INC-00006,Development,P1-Critical,Kafka Event Streaming,Split Brain,ERR_KAFKA_SPLIT_BRAIN_5555,"We're experiencing a split brain issue in our Kafka cluster. Some brokers are stuck in replication, causing data inconsistencies. Can you please help resolve this ASAP?",[Kafka] Error: Broker 'kafka-broker-0' is stuck in replication due to network partition at node 'broker-1',1. Run `kafka-console-consumer --bootstrap-server <kafka-node> --topic <topic-name>` to verify data consistency. 2. Trigger a manual failover to the affected broker (if applicable). 3. Verify all brokers are updated with the latest data.
INC-00007,Production,P2-High,BlueMarble Order Management,CSR Portal Failure,ERR_BLUEMARBLE_CSR_AUTH_FAIL_7777,"Our CSR portal is down, and all requests are failing with authentication errors. Can you please help resolve this?",[BlueMarble] Error: Unable to authenticate request due to invalid username/password at node 'csr-portal-0',1. Check the BlueMarble logs for any authentication-related errors or unusual behavior. 2. Verify user credentials and database connection stability. 3. Run `blue-marble-cli auth` to force a re-run of the authentication process.
INC-00008,Staging,P3-Medium,Kubernetes Orchestration,Distributed Deadlock,ERR_K8S_DEADLOCK_6666,"We're experiencing a distributed deadlock issue on our stateful sets. Pods are stuck in a loop, and our cluster is becoming unstable. Can you please investigate?",[Kubernetes] Error: Pod 'stateful-set-0' terminated due to Distributed Deadlock at node 'node-1',1. Run `kubectl get pods` to identify the affected stateful set. 2. Check the pod logs for any errors or unusual behavior. 3. Trigger a manual restart of the affected pods (if applicable).
INC-00009,Development,P4-Low,CI/CD Pipelines,Build Failure,ERR_CICD_BUILD_FAIL_4444,Our build pipeline is failing due to a missing dependency. Can you please help resolve this?,[Jenkins] Error: Unable to find required library 'library-123' at node 'jenkins-node-0',1. Check the Jenkins logs for any errors or unusual behavior. 2. Verify the build configuration and dependencies. 3. Run `junit` to re-run the failed test case.
INC-00010,Production,P2-High,Oracle Database Layer,OOM Kill,ERR_ORACLE_OOM_8888,"We're experiencing OOM kills on our production Oracle database. All queries are timing out, and we're seeing performance issues. Can you please help resolve this?",[Oracle] Error: Unable to allocate memory for query execution at node 'oracle-node-0',"1. Run `v$session` to identify the affected session. 2. Check Oracle logs for any errors or unusual behavior. 3. Adjust the database configuration (e.g., increase shared pool size)."
